"Time (YYYY:MM:DD)","Range (km)"
2018:05:29:07:05:12.000,4388.040084
2018:05:29:07:06:44.511,4407.311123
2018:05:29:12:48:58.696,4407.311946
2018:05:29:12:58:58.000,4286.045146
2018:05:29:13:08:58.000,4174.846544
2018:05:29:13:18:58.000,4076.564624
2018:05:29:13:28:58.000,3993.795667
2018:05:29:13:38:58.000,3928.895532
2018:05:29:13:48:58.000,3883.831040
2018:05:29:13:58:58.000,3860.034784
2018:05:29:14:08:58.000,3858.286675
2018:05:29:14:18:58.000,3878.644813
2018:05:29:14:28:58.000,3920.440208
2018:05:29:14:38:58.000,3982.336485
2018:05:29:14:48:58.000,4062.441936
2018:05:29:14:58:58.000,4158.452094
2018:05:29:15:08:58.000,4267.799196
2018:05:29:15:18:58.000,4387.789301
2018:05:29:15:20:31.695,4407.311177
2018:05:29:21:02:44.655,4407.311399
2018:05:29:21:12:44.000,4286.002525
2018:05:29:21:22:44.000,4174.769318
2018:05:29:21:32:44.000,4076.452632
2018:05:29:21:42:44.000,3993.649716
2018:05:29:21:52:44.000,3928.717513
2018:05:29:22:02:44.000,3883.623971
2018:05:29:22:12:44.000,3859.802760
2018:05:29:22:22:44.000,3858.034711
2018:05:29:22:32:44.000,3878.378590
2018:05:29:22:42:44.000,3920.165752
2018:05:29:22:52:44.000,3982.059845
2018:05:29:23:02:44.000,4062.168881
2018:05:29:23:12:44.000,4158.187886
2018:05:29:23:22:44.000,4267.548443
2018:05:29:23:32:44.000,4387.555883
2018:05:29:23:34:18.798,4407.311719
2018:05:30:05:16:30.569,4407.311147
2018:05:30:05:26:30.000,4285.952456
2018:05:30:05:36:30.000,4174.686726
2018:05:30:05:46:30.000,4076.337573
2018:05:30:05:56:30.000,3993.503164
2018:05:30:06:06:30.000,3928.541463
2018:05:30:06:16:30.000,3883.421470
2018:05:30:06:26:30.000,3859.577849
2018:05:30:06:36:30.000,3857.792263
2018:05:30:06:46:30.000,3878.124063
2018:05:30:06:56:30.000,3919.904885
2018:05:30:07:06:30.000,3981.798346
2018:05:30:07:16:30.000,4061.912152
2018:05:30:07:26:30.000,4157.940812
2018:05:30:07:36:30.000,4267.315263
2018:05:30:07:46:30.000,4387.340129
2018:05:30:07:48:05.810,4407.311111
2018:05:30:13:30:16.439,4407.312091
2018:05:30:13:40:16.000,4285.896224
2018:05:30:13:50:16.000,4174.600145
2018:05:30:14:00:16.000,4076.220888
2018:05:30:14:10:16.000,3993.357491
2018:05:30:14:20:16.000,3928.368871
2018:05:30:14:30:16.000,3883.225005
2018:05:30:14:40:16.000,3859.361463
2018:05:30:14:50:16.000,3857.560657
2018:05:30:15:00:16.000,3877.882442
2018:05:30:15:10:16.000,3919.658674
2018:05:30:15:20:16.000,3981.552895
2018:05:30:15:30:16.000,4061.672482
2018:05:30:15:40:16.000,4157.711425
