"Time (YYYY:MM:DD)","Range (km)"
2018:06:26:08:29:03.000,4283.174480
2018:06:26:08:34:36.019,4407.312043
2018:06:26:13:36:43.081,4407.312084
2018:06:26:14:36:43.000,3231.998043
2018:06:26:15:36:43.000,3162.694352
2018:06:26:16:36:43.000,4283.347262
2018:06:26:16:42:15.550,4407.310391
2018:06:26:21:44:22.612,4407.311991
2018:06:26:22:44:22.000,3232.116767
2018:06:26:23:44:22.000,3162.592888
2018:06:27:00:44:22.000,4283.150941
2018:06:27:00:49:55.083,4407.312106
2018:06:27:05:52:02.135,4407.312106
2018:06:27:06:52:02.000,3232.009685
2018:06:27:07:52:02.000,3162.684861
2018:06:27:08:52:02.000,4283.329420
2018:06:27:08:57:34.603,4407.311989
2018:06:27:13:59:41.656,4407.310415
2018:06:27:14:59:41.000,3232.125259
2018:06:27:15:59:41.000,3162.586054
2018:06:27:16:59:41.000,4283.138174
2018:06:27:17:05:14.117,4407.312082
2018:06:27:22:07:21.162,4407.312046
2018:06:27:23:07:21.000,3232.015389
2018:06:28:00:07:21.000,3162.680366
2018:06:28:01:07:21.000,4283.321122
2018:06:28:01:12:53.622,4407.310936
2018:06:28:06:15:00.667,4407.311979
2018:06:28:07:15:00.000,3232.128530
2018:06:28:08:15:00.000,3162.583598
2018:06:28:09:15:00.000,4283.133765
2018:06:28:09:20:33.129,4407.312106
2018:06:28:14:22:40.169,4407.311549
2018:06:28:15:22:40.000,3232.016562
2018:06:28:16:22:40.000,3162.679662
2018:06:28:17:22:40.000,4283.320054
2018:06:28:17:28:12.628,4407.312019
2018:06:28:22:30:19.665,4407.312101
2018:06:28:23:30:19.000,3232.127918
2018:06:29:00:30:19.000,3162.584382
2018:06:29:01:30:19.000,4283.135528
2018:06:29:01:35:52.124,4407.312105
2018:06:29:06:37:59.159,4407.312008
2018:06:29:07:37:59.000,3232.014452
2018:06:29:08:37:59.000,3162.681690
2018:06:29:09:37:59.000,4283.324182
2018:06:29:09:43:31.616,4407.311853
2018:06:29:14:45:38.650,4407.312106
2018:06:29:15:45:38.000,3232.124568
2018:06:29:16:45:38.000,3162.587433
2018:06:29:17:45:38.000,4283.141603
2018:06:29:17:51:11.107,4407.311980
2018:06:29:22:53:18.143,4407.310720
2018:06:29:23:53:18.000,3232.010093
2018:06:30:00:53:18.000,3162.685574
2018:06:30:01:53:18.000,4283.331835
2018:06:30:01:58:50.596,4407.312058
2018:06:30:07:00:57.628,4407.312071
2018:06:30:08:00:57.000,3232.119398
2018:06:30:09:00:57.000,3162.591980
2018:06:30:10:00:57.000,4283.150516
2018:06:30:10:06:30.079,4407.310539
2018:06:30:15:08:37.114,4407.311984
2018:06:30:16:08:37.000,3232.004282
2018:06:30:17:08:37.000,3162.690644
2018:06:30:18:08:37.000,4283.341740
2018:06:30:18:14:09.569,4407.312106
2018:06:30:23:16:16.599,4407.312106
2018:07:01:00:16:16.000,3232.113085
2018:07:01:01:16:16.000,3162.597455
2018:07:01:02:16:16.000,4283.161192
2018:07:01:02:21:49.054,4407.311998
