"Time (YYYY:MM:DD)","Range (km)"
2018:05:27:04:27:29.000,3247.411025
2018:05:27:04:37:29.000,3263.289763
2018:05:27:04:47:29.000,3315.411978
2018:05:27:04:57:29.000,3401.297405
2018:05:27:05:07:29.000,3517.148751
2018:05:27:05:17:29.000,3658.350840
2018:05:27:05:27:29.000,3819.951326
2018:05:27:05:37:29.000,3997.034719
2018:05:27:05:47:29.000,4184.963975
2018:05:27:05:57:29.000,4379.506375
2018:05:27:05:58:53.801,4407.312081
2018:05:27:11:11:16.622,4407.310704
2018:05:27:11:21:16.000,4212.334667
2018:05:27:11:31:16.000,4023.198966
2018:05:27:11:41:16.000,3844.277974
2018:05:27:11:51:16.000,3680.156930
2018:05:27:12:01:16.000,3535.724046
2018:05:27:12:11:16.000,3415.947103
2018:05:27:12:21:16.000,3325.517961
2018:05:27:12:31:16.000,3268.383095
2018:05:27:12:41:16.000,3247.239167
2018:05:27:12:51:16.000,3263.127419
2018:05:27:13:01:16.000,3315.263377
2018:05:27:13:11:16.000,3401.165871
2018:05:27:13:21:16.000,3517.036542
2018:05:27:13:31:16.000,3658.259177
2018:05:27:13:41:16.000,3819.880539
2018:05:27:13:51:16.000,3996.984452
2018:05:27:14:01:16.000,4184.933382
2018:05:27:14:11:16.000,4379.494290
2018:05:27:14:12:40.826,4407.310686
2018:05:27:19:25:03.317,4407.312083
2018:05:27:19:35:03.000,4212.219514
2018:05:27:19:45:03.000,4023.067783
2018:05:27:19:55:03.000,3844.131824
2018:05:27:20:05:03.000,3679.997515
2018:05:27:20:15:03.000,3535.553825
2018:05:27:20:25:03.000,3415.769369
2018:05:27:20:35:03.000,3325.336820
2018:05:27:20:45:03.000,3268.203280
2018:05:27:20:55:03.000,3247.065696
2018:05:27:21:05:03.000,3262.965129
2018:05:27:21:15:03.000,3315.116461
2018:05:27:21:25:03.000,3401.037543
2018:05:27:21:35:03.000,3516.928894
2018:05:27:21:45:03.000,3658.173229
2018:05:27:21:55:03.000,3819.816409
2018:05:27:22:05:03.000,3996.941572
2018:05:27:22:15:03.000,4184.910708
2018:05:27:22:25:03.000,4379.490470
2018:05:27:22:26:27.833,4407.311675
2018:05:28:03:38:49.990,4407.312034
2018:05:28:03:48:49.000,4212.416995
2018:05:28:03:58:49.000,4023.236114
2018:05:28:04:08:49.000,3844.264954
2018:05:28:04:18:49.000,3680.089419
2018:05:28:04:28:49.000,3535.598896
2018:05:28:04:38:49.000,3415.762959
2018:05:28:04:48:49.000,3325.275896
2018:05:28:04:58:49.000,3268.087068
2018:05:28:05:08:49.000,3246.896108
2018:05:28:05:18:49.000,3262.746800
2018:05:28:05:28:49.000,3314.856318
2018:05:28:05:38:49.000,3400.744028
2018:05:28:05:48:49.000,3516.611072
2018:05:28:05:58:49.000,3657.840004
2018:05:28:06:08:49.000,3819.475987
2018:05:28:06:18:49.000,3996.601183
2018:05:28:06:28:49.000,4184.576520
2018:05:28:06:38:49.000,4379.167635
2018:05:28:06:40:14.812,4407.312058
2018:05:28:11:52:36.639,4407.311040
2018:05:28:12:02:36.000,4212.284691
2018:05:28:12:12:36.000,4023.088496
2018:05:28:12:22:36.000,3844.103485
2018:05:28:12:32:36.000,3679.916229
2018:05:28:12:42:36.000,3535.416893
2018:05:28:12:52:36.000,3415.575879
2018:05:28:13:02:36.000,3325.088241
2018:05:28:13:12:36.000,3267.903876
2018:05:28:13:22:36.000,3246.722567
2018:05:28:13:32:36.000,3262.587754
2018:05:28:13:42:36.000,3314.715807
2018:05:28:13:52:36.000,3400.624971
2018:05:28:14:02:36.000,3516.515169
2018:05:28:14:12:36.000,3657.767834
2018:05:28:14:22:36.000,3819.427213
2018:05:28:14:32:36.000,3996.574801
2018:05:28:14:42:36.000,4184.571081
2018:05:28:14:52:36.000,4379.181424
2018:05:28:14:54:01.757,4407.310547
